,Student_ID,Age,Hours_of_Screen_Time,Hours_of_Sleep,Daily_Study_Hours,Physical_Activity,Mental_Clarity_Score,Mood,
,S1494,23,5.9,5.5,3,72,7,Stressed,
,S1495,23,8,7.5,5.2,61,9,Happy,
,S1496,23,11.4,8.1,2.3,31,1,Neutral,
,S1497,19,5.1,8,1.8,43,4,Happy,
,S1498,24,5.8,6,0.3,58,5,Stressed,
,S1499,23,9.9,6.5,5.1,87,8,Happy,
,S1500,18,10.1,7.2,0.8,58,7,Happy,
,S1501,17,8.7,5.2,1.2,75,5,Happy,
,S1502,20,10.3,7.3,2.5,3,5,Stressed,
,S1503,24,9.4,7.6,3.4,61,8,Stressed,
,S1504,25,8.9,7.9,5.4,14,3,Neutral,
,S1505,21,7.3,4.4,2.7,33,7,Happy,
,S1506,17,8.5,9,1.9,8,5,Happy,
,S1507,19,6.2,6.4,4.3,48,10,Neutral,
,S1508,20,5.6,6,4.7,81,1,Happy,
,S1509,19,5.6,6.5,2.9,28,9,Happy,
,S1510,19,3.8,8.6,3.8,86,3,Happy,
,S1511,18,4.1,7.5,1.1,89,8,Happy,
,S1512,16,11.5,6.7,3.8,29,8,Happy,
,S1513,16,6.9,8,0,40,2,Stressed,
,S1514,19,4.3,5.8,1.6,52,9,Stressed,
,S1515,23,3.4,8.5,4.6,45,2,Stressed,
,S1516,25,2.8,6.7,1,66,3,Neutral,
,S1517,17,10.4,7.2,4.6,68,10,Neutral,
,S1518,23,3,4.4,2.9,1,9,Stressed,
,S1519,22,9.7,7.8,4.6,89,3,Neutral,
,S1520,25,10.4,7.3,0.5,33,7,Stressed,
,S1521,19,10.8,5.8,3.7,31,7,Happy,
,S1522,22,2.4,7.2,3.8,36,6,Happy,
,S1523,23,5.4,4.2,2.4,11,8,Happy,
,S1524,22,9.7,8.9,5.8,51,1,Stressed,
,S1525,19,3.3,7.4,2.3,86,3,Neutral,
,S1526,18,5.8,6,0.2,43,8,Stressed,
,S1527,16,3.6,7.8,1.2,9,10,Neutral,
,S1528,17,10.3,8.8,2.2,70,4,Neutral,
,S1529,22,9.7,6.2,0.1,22,8,Happy,
,S1530,19,10.1,4.1,1.9,60,2,Happy,
,S1531,18,3.7,5.3,5,40,5,Stressed,
,S1532,24,6.4,6.6,1.1,45,6,Stressed,
,S1533,23,6.1,6.6,4.1,27,3,Happy,
,S1534,16,8.8,6.9,3.8,73,2,Stressed,
,S1535,24,4.4,6.9,1.5,34,2,Happy,
,S1536,19,6.4,6.2,4.2,23,2,Stressed,
,S1537,17,4.8,6,2.1,87,8,Neutral,
,S1538,23,9.5,7.9,0.8,24,6,Stressed,
,S1539,18,6.5,6.9,2.3,63,2,Happy,
,S1540,23,7.3,6.5,3.5,25,9,Stressed,
,S1541,24,5.1,5.7,1,30,7,Neutral,
,S1542,24,10.1,4.1,4.9,30,9,Neutral,
,S1543,25,6.7,4.5,1.8,33,10,Neutral,
,S1544,21,10.4,6.1,1.7,26,3,Happy,
,S1545,23,5.7,8.8,4.4,29,7,Stressed,
,S1546,25,11.5,4.6,3.6,25,9,Happy,
,S1547,24,11.8,8.7,2,31,7,Happy,
,S1548,22,6.6,4.7,5.3,79,1,Happy,
,S1549,24,4.8,5.6,6,45,3,Stressed,
,S1550,23,5.8,6.3,2.1,19,6,Happy,
,S1551,18,7.3,5,5.4,13,10,Stressed,
,S1552,23,11.7,6.4,2.2,15,3,Neutral,
,S1553,23,10.2,6.4,1.1,10,3,Stressed,
,S1554,20,10,6.2,5.7,86,3,Stressed,
,S1555,19,3.4,7.5,5.5,84,3,Happy,
,S1556,20,4.5,5.6,2.4,63,1,Neutral,
,S1557,24,8.4,5.5,1.4,78,7,Stressed,
,S1558,23,10.7,8.1,4.4,0,5,Stressed,
,S1559,19,7.5,4.6,0.8,69,5,Happy,
,S1560,20,3,8.2,4.4,5,8,Neutral,
,S1561,23,10.5,7.2,3.5,61,5,Happy,
,S1562,17,10.5,7.4,1,47,3,Happy,
,S1563,20,4.9,4.8,2.2,79,2,Happy,
,S1564,19,9.6,8.9,3.9,40,3,Happy,
,S1565,20,4.7,5.2,0.2,63,4,Stressed,
,S1566,21,11.1,4.9,5.3,73,1,Neutral,
,S1567,21,3.5,4.8,1.5,35,10,Neutral,
,S1568,24,6.4,6.8,3.2,62,5,Happy,
,S1569,17,11.5,8.8,0.3,23,1,Happy,
,S1570,18,4.2,5.2,6,65,8,Stressed,
,S1571,18,6.5,6,4,35,8,Happy,
,S1572,19,5.5,4.9,3.9,50,8,Happy,
,S1573,22,2.3,7.2,0.1,28,9,Stressed,
,S1574,18,2.5,6.2,4.1,73,1,Neutral,
,S1575,19,7,4.1,2.5,16,10,Neutral,
,S1576,17,4.4,7.1,2.3,6,8,Happy,
,S1577,22,11.9,5,3.3,67,4,Neutral,
,S1578,22,5.7,7,2.8,54,4,Neutral,
,S1579,21,2.3,5.9,0.9,61,10,Neutral,
,S1580,24,11.3,7.5,4.2,69,8,Stressed,
,S1581,23,10.4,5,3.8,4,8,Neutral,
,S1582,22,8.5,7.8,1.8,64,7,Happy,
,S1583,16,9.9,8,4,44,8,Happy,
,S1584,19,3.4,4.3,4,50,2,Stressed,
,S1585,22,4.9,4.5,1.6,87,10,Happy,
,S1586,22,10.3,8.4,3.6,22,10,Stressed,
,S1587,25,9,4.9,0.8,58,1,Happy,
,S1588,16,3.4,5.6,5,15,4,Happy,
,S1589,25,9.1,6.3,0.6,89,9,Happy,
,S1590,22,6.5,5.3,4.3,66,5,Neutral,
,S1591,23,2.1,8.3,0.7,58,10,Stressed,
,S1592,16,2.8,6.6,0.7,40,9,Happy,
,S1593,21,4.6,7.2,0.6,88,4,Happy,
,S1594,20,10.3,7,1.2,1,1,Happy,
,S1595,22,7.5,7.1,1.2,1,3,Stressed,
,S1596,22,9.3,6.9,1.6,86,3,Neutral,
,S1597,24,7.3,5.7,3.1,26,1,Stressed,
,S1598,24,3.1,8.2,1.2,48,6,Stressed,
,S1599,25,4.9,7.1,4.2,74,1,Neutral,
,S1600,19,5,8.1,1.8,12,3,Neutral,
,S1601,23,2.5,7.5,0.2,41,1,Happy,
,S1602,19,6.2,5.5,3,46,10,Stressed,
,S1603,20,9.9,7.1,1.2,78,10,Stressed,
,S1604,22,6.6,4.4,5.6,33,5,Neutral,
,S1605,23,3.1,4.7,2,23,6,Happy,
,S1606,16,11.1,4.6,0,70,2,Happy,
,S1607,22,8,5.5,4,33,1,Neutral,
,S1608,21,2.2,4.9,5.4,30,2,Happy,
,S1609,22,7.2,7.5,5,34,7,Happy,
,S1610,18,4.4,6.6,4,60,3,Happy,
,S1611,23,3.4,6.1,0.9,78,3,Stressed,
,S1612,18,6.3,4.7,0.5,43,5,Neutral,
,S1613,25,8.1,5.9,3.1,46,10,Happy,
,S1614,24,4.4,4.9,4.3,23,10,Neutral,
,S1615,16,6.2,7.2,0.6,63,10,Happy,
,S1616,22,8.6,7.5,1.5,54,9,Happy,
,S1617,25,2.9,7.2,1.4,26,3,Neutral,
,S1618,25,11.7,9,5.9,53,8,Stressed,
,S1619,16,2.7,6.8,1.8,89,10,Neutral,
,S1620,17,7.3,6.4,2.8,47,6,Happy,
,S1621,22,7.1,4.7,0.6,46,1,Neutral,
,S1622,18,11.9,5.6,1,51,2,Happy,
,S1623,23,7.5,6.3,0.2,35,5,Happy,
,S1624,18,5.9,4.3,1.7,57,6,Stressed,
,S1625,16,6.7,5.8,4.8,23,6,Neutral,
,S1626,20,8.4,4,1.9,73,7,Happy,
,S1627,22,11.8,4.7,4.4,16,2,Neutral,
,S1628,21,4.5,8.1,0.6,73,7,Neutral,
,S1629,19,2.2,8.8,4.5,87,9,Happy,
,S1630,23,9.9,6.5,0.3,29,2,Neutral,
,S1631,21,5.4,6.5,5.1,12,5,Stressed,
,S1632,21,9.3,7.4,4,34,8,Happy,
,S1633,22,8.3,6.1,1,30,3,Stressed,
,S1634,20,9.7,8.2,2.1,71,2,Neutral,
,S1635,22,9.4,6.4,2.6,55,5,Neutral,
,S1636,20,5.3,4.4,3.7,48,6,Happy,
,S1637,17,2.4,4.2,5.3,25,9,Neutral,
,S1638,23,7.5,7.8,0.6,18,7,Happy,
,S1639,16,10.1,5.5,4.9,19,9,Happy,
,S1640,24,3.8,5.4,1.1,60,4,Stressed,
,S1641,16,9.8,6.7,2.4,1,4,Stressed,
,S1642,21,6.6,4.8,5.8,22,10,Happy,
,S1643,19,9,6.3,1.6,53,1,Neutral,
,S1644,17,8.3,7.7,2.3,63,2,Happy,
,S1645,16,10.1,7.8,5.1,17,10,Happy,
,S1646,16,2.6,6.7,4.8,80,9,Neutral,
,S1647,19,9.8,4.6,3.9,66,2,Neutral,
,S1648,19,6.6,4.6,4.8,68,8,Neutral,
,S1649,16,4.9,7.9,0.7,40,10,Happy,
,S1650,25,2.4,8.1,4.2,62,5,Neutral,
,S1651,18,4,5.8,0.4,38,7,Happy,
,S1652,19,2.4,8.1,5.7,32,10,Neutral,
,S1653,18,11.3,4.2,1,71,6,Stressed,
,S1654,23,7.2,7.6,2.5,72,5,Happy,
,S1655,17,11.9,6.7,3.5,6,9,Stressed,
,S1656,25,7.4,8.9,4.8,50,10,Stressed,
,S1657,19,4.5,4.5,4.1,12,10,Happy,
,S1658,23,9.5,8.2,1.1,88,6,Stressed,
,S1659,20,3.9,7.8,2.3,20,3,Stressed,
,S1660,21,5.6,5.5,2.2,7,10,Happy,
,S1661,18,9.8,9,0.2,27,10,Happy,
,S1662,25,10.7,6.2,4.1,32,8,Neutral,
,S1663,25,5.3,5.7,5,60,9,Stressed,
,S1664,17,3.2,8.1,5.8,80,8,Neutral,
,S1665,18,5.7,6.2,0.8,12,8,Happy,
,S1666,20,10.9,9,5.5,57,3,Stressed,
,S1667,17,9.4,7.9,0.7,42,10,Neutral,
,S1668,25,10.9,5.2,2.5,33,4,Neutral,
,S1669,16,5.9,8.1,0.3,46,5,Neutral,
,S1670,20,11.7,6.9,1.6,46,4,Happy,
,S1671,25,7,5.8,1.9,71,1,Stressed,
,S1672,22,7,7.6,4.2,71,2,Neutral,
,S1673,22,11.2,7.2,4.1,32,1,Stressed,
,S1674,19,7.2,4.8,4.6,44,8,Happy,
,S1675,17,10,4.7,3.5,2,2,Happy,
,S1676,25,9.3,5,3.4,52,4,Neutral,
,S1677,19,2.8,5,5.9,15,10,Neutral,
,S1678,17,8,4.3,4,44,7,Stressed,
,S1679,20,10.2,5.8,2,86,7,Happy,
,S1680,25,7.5,5.4,3.1,77,1,Stressed,
,S1681,17,5.2,6.7,4.2,25,6,Happy,
,S1682,25,2.8,5.6,0.6,73,6,Stressed,
,S1683,16,8.6,7.5,4,73,9,Happy,
,S1684,21,5.1,5.4,1.5,83,4,Neutral,
,S1685,24,8,5.3,2.1,83,1,Happy,
,S1686,22,6.3,8.3,4.1,68,4,Happy,
,S1687,21,8.9,8.9,2.3,22,5,Neutral,
,S1688,17,5.5,7.4,5,36,5,Stressed,
,S1689,24,2.4,4.5,3.4,45,2,Stressed,
,S1690,21,10.7,8.8,5.9,41,5,Happy,
,S1691,16,5.5,7.9,0.3,86,5,Neutral,
,S1692,22,12,8.6,3.9,65,9,Stressed,
,S1693,23,4.7,9,0.9,62,9,Neutral,
,S1694,17,11.8,8.3,5.1,57,6,Neutral,
,S1695,22,11.5,4.6,5.1,10,1,Stressed,
,S1696,21,2.8,8.3,5.2,48,2,Happy,
,S1697,23,8.4,5.2,0.4,78,6,Neutral,
,S1698,18,5.6,7.6,2.9,36,6,Neutral,
,S1699,22,10,8.1,1.4,59,7,Happy,
,S1700,18,8.8,7.8,5.8,80,10,Happy,
,S1701,24,11.5,7.4,0.3,18,10,Stressed,
,S1702,20,3.4,6.4,1.3,21,1,Happy,
,S1703,25,8.1,6.9,3.9,81,3,Stressed,
,S1704,24,9.8,5.3,2.4,43,4,Stressed,
,S1705,23,2.3,6.1,1.4,53,6,Neutral,
,S1706,23,2.7,6.3,2.8,80,6,Happy,
,S1707,22,9.8,7.2,4.8,78,8,Happy,
,S1708,25,5.7,8.4,2.7,73,8,Neutral,
,S1709,20,5.8,4.5,5.1,51,1,Neutral,
,S1710,21,7.7,6.6,2.7,9,3,Happy,
,S1711,19,8.1,5.4,0.7,10,8,Stressed,
,S1712,17,8.8,8.7,3,20,3,Happy,
,S1713,20,11.5,5.8,3.9,43,8,Happy,
,S1714,23,5.7,8.8,0.6,29,9,Neutral,
,S1715,19,9.6,5.6,2.5,40,6,Stressed,
,S1716,23,7.7,4,3.3,40,8,Neutral,
,S1717,25,7.3,7.9,0,83,7,Happy,
,S1718,25,6,7.7,0.5,37,1,Stressed,
,S1719,22,8.5,7.7,3.6,90,9,Neutral,
,S1720,21,4.5,6.3,3.7,34,5,Stressed,
,S1721,16,3.1,7.3,1.8,77,10,Stressed,
,S1722,23,9.4,5.8,3.1,82,6,Stressed,
,S1723,21,7,4.3,1.2,50,9,Happy,
,S1724,18,5.9,6.7,4,34,9,Neutral,
,S1725,23,7.6,5.1,5.7,56,1,Neutral,
,S1726,19,4.6,6.1,2.2,46,4,Happy,
,S1727,21,4.6,5.1,0.3,75,10,Stressed,
,S1728,20,6.5,5.3,1.3,66,6,Neutral,
,S1729,21,12,8.1,2.7,57,6,Happy,
,S1730,20,4.9,5.7,3.4,52,2,Neutral,
,S1731,25,11.2,6.9,3.7,21,3,Stressed,
,S1732,20,6.9,6.8,2.8,23,5,Neutral,
,S1733,24,3.2,6.4,3.9,2,1,Stressed,
,S1734,16,10.5,5.7,4.3,16,6,Stressed,
,S1735,24,6.5,7.4,0.7,30,7,Happy,
,S1736,19,11,4.2,4.6,84,9,Stressed,
,S1737,17,6.5,4.5,1.3,32,3,Happy,
,S1738,19,2.9,7.9,2,89,10,Neutral,
,S1739,22,8.8,6.3,5,10,10,Stressed,
,S1740,23,10.5,4.6,5.8,26,7,Neutral,
,S1741,24,5.2,8.3,1.8,21,3,Stressed,
,S1742,19,5.5,6.2,3.1,50,10,Happy,
,S1743,23,2.6,4,4.2,13,2,Neutral,
,S1744,23,7.4,8.8,0.3,12,5,Neutral,
,S1745,23,10.9,5,1,8,6,Neutral,
,S1746,16,10.5,7.4,0.8,60,1,Stressed,
,S1747,17,9.1,4.7,4.3,70,5,Stressed,
,S1748,20,11.3,7.2,4.3,6,7,Stressed,
,S1749,19,8.4,4.8,0.6,3,2,Stressed,
,S1750,22,9.9,8.7,3.7,50,8,Happy,
,S1751,19,7.1,5.4,1.1,67,4,Stressed,
,S1752,20,3.2,7.3,5.6,10,6,Happy,
,S1753,25,4,5.3,2.4,13,8,Stressed,
,S1754,21,3.4,5.9,2.7,33,5,Neutral,
,S1755,23,9.9,8.5,4.7,79,4,Stressed,
,S1756,24,2.3,4.8,4.3,19,9,Happy,
,S1757,24,7.5,6,0.6,10,5,Stressed,
,S1758,21,5.7,5.5,2.5,83,3,Stressed,
,S1759,22,10,7.5,5.6,49,2,Neutral,
,S1760,24,7.5,5.2,5,39,6,Happy,
,S1761,21,8.1,7.3,3.5,29,1,Happy,
,S1762,21,2.9,7.5,4.6,31,4,Neutral,
,S1763,23,5.1,4,2.7,36,2,Neutral,
,S1764,20,12,6.4,4,56,8,Neutral,
,S1765,20,9.2,4.7,5.7,80,9,Stressed,
,S1766,20,7.3,5.1,0.8,16,1,Happy,
,S1767,19,9.7,7.4,3,16,8,Neutral,
,S1768,17,10.2,4,3.2,67,9,Neutral,
,S1769,19,2.7,7.5,0.3,21,3,Happy,
,S1770,21,11.7,8.1,5.6,3,4,Stressed,
,S1771,17,8.4,8.9,5,4,6,Stressed,
,S1772,24,6.5,6.1,2.9,84,8,Stressed,
,S1773,18,8.8,4.7,3,45,9,Happy,
,S1774,19,5.4,4.4,5.5,41,5,Stressed,
,S1775,19,10.8,5.9,1.1,60,6,Stressed,
,S1776,23,9.8,7.7,3.5,59,3,Happy,
,S1777,20,8.4,4.5,4.4,69,2,Happy,
,S1778,25,3.8,5.6,0.8,34,9,Neutral,
,S1779,24,11.7,8.4,2.3,70,3,Happy,
,S1780,25,6.3,4.7,3.6,56,4,Stressed,
,S1781,20,11.1,7.9,5.3,17,1,Happy,
,S1782,17,2.6,7.8,3,89,8,Stressed,
,S1783,19,3.2,4.7,2.3,69,7,Neutral,
,S1784,20,3.5,9,5.9,22,9,Stressed,
,S1785,19,3.6,4.7,5.5,75,2,Stressed,
,S1786,21,5.2,6.7,4.6,76,1,Stressed,
,S1787,18,9.1,4,1.6,58,5,Happy,
,S1788,20,5.5,7.3,5.8,80,1,Stressed,
,S1789,16,11.4,6.2,5.8,81,10,Happy,
,S1790,24,10.9,7.6,2.7,72,2,Neutral,
,S1791,18,10.5,7.1,0.8,55,6,Neutral,
,S1792,20,4.5,4.8,2.5,67,8,Neutral,
,S1793,16,8.4,6.1,4.2,81,1,Stressed,
,S1794,16,7.5,7.4,4.5,81,2,Stressed,
,S1795,24,3.3,8.3,1.8,68,9,Neutral,
,S1796,20,5,4.4,4.2,39,5,Neutral,
,S1797,18,7.3,4.5,5.2,44,1,Happy,
,S1798,23,7,7.8,4.3,61,10,Happy,
,S1799,17,3.7,6.9,5.6,69,5,Neutral,
,S1800,16,11.4,5.9,3.8,29,4,Neutral,
,S1801,25,3.5,8.8,1.2,11,6,Neutral,
,S1802,20,8.6,5.6,3.7,56,4,Neutral,
,S1803,23,9.2,4.7,1.7,39,4,Stressed,
,S1804,23,8.1,5.4,2.1,46,5,Stressed,
,S1805,23,10.4,4.4,4,52,5,Happy,
,S1806,21,7.6,6.8,5.9,33,9,Neutral,
,S1807,18,10.3,7,3.9,19,6,Stressed,
,S1808,16,2.3,7,5.7,38,8,Stressed,
,S1809,20,2.5,7.9,3,1,2,Stressed,
,S1810,23,8.4,7.5,4.2,0,5,Stressed,
,S1811,17,7.8,8.2,1.9,66,3,Neutral,
,S1812,17,8.5,7.3,0.7,17,3,Neutral,
,S1813,22,9.7,5.5,2.1,44,5,Stressed,
,S1814,23,6.2,6.6,2.9,36,2,Neutral,
,S1815,17,8.4,6.5,3.4,60,1,Stressed,
,S1816,25,7,7.7,4,68,10,Stressed,
,S1817,16,8.3,5.5,2.5,1,9,Happy,
,S1818,18,4.9,4.3,4.5,88,9,Happy,
,S1819,18,11.6,8.5,5,62,2,Neutral,
,S1820,25,6.8,8.8,1.7,61,4,Happy,
,S1821,20,10,6.5,5.1,38,9,Happy,
,S1822,17,8.8,4.6,4.8,1,6,Neutral,
,S1823,19,5,6.5,3.1,55,9,Happy,
,S1824,17,2.7,7,0.2,37,6,Neutral,
,S1825,24,2.6,6.6,0.9,76,5,Happy,
,S1826,22,6.4,8.9,4,29,3,Happy,
,S1827,25,6.8,8.9,1.2,0,5,Happy,
,S1828,25,4,8.7,4.5,70,10,Neutral,
,S1829,25,8.1,4.7,1,47,4,Happy,
,S1830,19,5.1,8.3,1.7,24,3,Stressed,
,S1831,24,9.2,6.8,1.5,52,2,Happy,
,S1832,22,9.3,5.8,5,71,5,Neutral,
,S1833,23,10.6,7.4,4.1,55,10,Happy,
,S1834,23,11.8,7.8,1.8,50,6,Happy,
,S1835,20,3.3,8.8,4.5,31,9,Stressed,
,S1836,25,5.7,7.9,0.2,20,8,Stressed,
,S1837,22,7.6,4.1,4.9,82,1,Happy,
,S1838,20,5.2,4.3,0.6,49,3,Neutral,
,S1839,25,6.7,5.3,5.2,48,1,Neutral,
,S1840,25,4.7,4.2,4.4,28,8,Stressed,
,S1841,16,4.5,4.3,5.2,33,1,Stressed,
,S1842,25,3,7.9,4.5,10,2,Happy,
,S1843,17,4.9,6.5,3.4,54,7,Neutral,
,S1844,19,5.8,7.1,1.4,80,1,Neutral,
,S1845,19,8.2,6.5,4.7,30,2,Neutral,
,S1846,20,4.5,6.1,4.8,66,7,Neutral,
,S1847,17,10.7,7.5,1.7,78,7,Stressed,
,S1848,18,3.6,4.4,4,88,3,Stressed,
,S1849,19,5.3,6.7,5.6,87,10,Happy,
,S1850,18,7.8,7.1,2.3,34,10,Neutral,
,S1851,24,5.1,5.4,5.7,36,8,Happy,
,S1852,17,9.6,5.5,5.9,83,10,Happy,
,S1853,18,7,6.6,1.9,68,6,Happy,
,S1854,16,7.1,5,3.3,34,5,Happy,
,S1855,22,7,8,0.1,52,6,Stressed,
,S1856,23,5.1,6.7,1.5,24,4,Stressed,
,S1857,25,2.2,6,3.7,8,9,Neutral,
,S1858,23,11.5,7.2,4.7,23,2,Neutral,
,S1859,20,7.1,8.2,5.2,17,8,Stressed,
,S1860,16,11.7,7.4,5,37,10,Neutral,
,S1861,19,4.2,4.3,5.5,14,3,Stressed,
,S1862,20,5.5,7.5,4.2,81,2,Stressed,
,S1863,20,2.5,7.6,3.9,58,8,Neutral,
,S1864,23,6.9,8.2,4.5,79,2,Neutral,
,S1865,17,10.8,4.3,3.3,57,8,Stressed,
,S1866,19,8.5,4.4,3.6,34,5,Stressed,
,S1867,20,6.7,6.2,4.7,89,8,Stressed,
,S1868,25,7.4,6.3,5.8,79,8,Stressed,
,S1869,19,10.5,7,1.8,62,4,Stressed,
,S1870,22,6.3,5.5,1.1,24,4,Neutral,
,S1871,17,10.8,7.7,4.1,41,3,Neutral,
,S1872,24,9.3,7.7,1.1,2,10,Neutral,
,S1873,19,9.6,4.6,1,19,5,Stressed,
,S1874,18,5.7,7.5,3.1,6,6,Happy,
,S1875,20,6,7.5,2.3,68,7,Neutral,
,S1876,18,7.7,4.8,2.6,2,3,Happy,
,S1877,17,3.9,8.8,3.3,23,6,Neutral,
,S1878,16,7.5,6.6,0.8,13,6,Happy,
,S1879,18,2.7,7.9,3.5,36,8,Neutral,
,S1880,20,7,7.6,1.5,34,8,Neutral,
,S1881,25,9.6,4.8,2,16,1,Neutral,
,S1882,25,4.8,4.6,4.3,56,2,Happy,
,S1883,20,11.9,7.9,0.9,1,8,Happy,
,S1884,23,8.8,5.3,0.9,29,2,Neutral,
,S1885,17,3.2,8.4,1.9,11,6,Neutral,
,S1886,23,11.8,7.9,0.3,19,8,Neutral,
,S1887,20,5.9,4.1,5.6,1,8,Happy,
,S1888,22,9.9,8,3.7,63,3,Stressed,
,S1889,20,5.4,5.4,4,27,5,Happy,
,S1890,24,11.4,4.3,2.9,43,6,Stressed,
,S1891,24,9.5,7.6,3.4,53,10,Stressed,
,S1892,23,4,6.9,2.1,39,10,Neutral,
,S1893,23,7.1,4.4,4.7,63,3,Happy,
,S1894,17,7,6.3,1.9,47,9,Happy,
,S1895,25,2.5,5.8,1.3,59,2,Stressed,
,S1896,16,3.4,6.5,1.1,89,7,Stressed,
,S1897,22,5.3,6.8,0.4,4,2,Stressed,
,S1898,21,6.7,5.8,3,42,6,Happy,
,S1899,25,6.6,5.3,2.5,10,9,Happy,
,S1900,20,8.1,4.5,3.2,18,2,Happy,
,S1901,16,7.2,6.9,0.6,7,5,Happy,
,S1902,17,5.3,7.6,1.3,34,9,Happy,
,S1903,19,8.1,5.1,1.3,50,8,Neutral,
,S1904,25,3.6,6.5,2,9,7,Stressed,
,S1905,25,11.9,4.2,2.2,69,10,Happy,
,S1906,16,9.4,8.3,1.3,60,7,Neutral,
,S1907,20,5,5.2,4.5,23,4,Neutral,
,S1908,25,5.4,6.4,3.2,24,10,Neutral,
,S1909,16,10.3,5.9,6,32,4,Happy,
,S1910,18,7.3,4.8,4.9,48,9,Happy,
,S1911,23,9.1,8.7,5.9,1,3,Stressed,
,S1912,24,5,8.3,0.1,15,8,Stressed,
,S1913,23,10.2,6.8,4,31,7,Happy,
,S1914,20,5.7,8.6,2.7,49,2,Stressed,
,S1915,18,8.7,7.7,5.4,56,6,Neutral,
,S1916,25,11.8,6.1,3.7,31,4,Neutral,
,S1917,22,7.8,5.6,3.7,4,10,Happy,
,S1918,23,10,6.1,5.8,25,7,Neutral,
,S1919,17,9.3,7.6,4.1,58,7,Neutral,
,S1920,23,8.9,5.4,1.9,12,10,Stressed,
,S1921,21,2.3,4.4,5.5,66,6,Happy,
,S1922,22,6.7,5.9,5.7,85,9,Stressed,
,S1923,21,11.7,6.5,2.3,26,4,Neutral,
,S1924,21,9.8,8.5,3.2,60,3,Happy,
,S1925,17,9.8,4.9,1.7,49,2,Happy,
,S1926,18,7.8,8,5.5,87,10,Neutral,
,S1927,21,9.2,8.9,4.9,39,8,Neutral,
,S1928,22,7.8,8.8,2.2,41,2,Happy,
,S1929,23,3.7,4.3,4.8,20,10,Neutral,
,S1930,20,8.3,6.3,2.7,80,10,Neutral,
,S1931,22,8.2,5.4,0.3,5,8,Happy,
,S1932,24,10.4,8.2,5.4,70,6,Happy,
,S1933,16,3.5,5.6,1.2,66,9,Stressed,
,S1934,23,8.8,6.8,3.1,15,2,Stressed,
,S1935,17,2.3,4,5.7,32,8,Stressed,
,S1936,21,11.5,5,1,61,3,Neutral,
,S1937,20,3.1,6.8,5.7,81,5,Stressed,
,S1938,21,2.2,5.5,3.2,38,7,Stressed,
,S1939,17,5.1,7.1,0,25,2,Neutral,
,S1940,22,3.5,6.3,0.4,46,10,Neutral,
,S1941,24,8.9,7,4,6,2,Neutral,
,S1942,16,6.1,6.5,4.6,85,10,Stressed,
,S1943,24,9.7,7.9,5.2,27,7,Stressed,
,S1944,23,11.2,5,2.5,14,6,Happy,
,S1945,22,10.7,8.5,0.6,30,8,Stressed,
,S1946,16,9.4,7.8,3.2,81,1,Stressed,
,S1947,19,2.6,5.2,4.2,55,2,Neutral,
,S1948,24,3.4,4,5.9,41,4,Neutral,
,S1949,21,4.1,6.1,4.7,1,3,Stressed,
,S1950,25,5.3,5.2,3.9,21,10,Happy,
,S1951,23,8.6,5.7,5.6,35,1,Stressed,
,S1952,23,7.3,8.2,4.5,74,3,Neutral,
,S1953,16,5.1,8.4,0.9,15,3,Happy,
,S1954,19,3.7,8.8,2.8,50,8,Happy,
,S1955,20,11.1,4,2,31,9,Stressed,
,S1956,24,5.4,7.3,0.5,1,5,Stressed,
,S1957,18,5.5,8.2,0.3,5,7,Happy,
,S1958,20,9.7,7.6,4.8,74,10,Neutral,
,S1959,23,9.2,4.5,3.3,88,10,Happy,
,S1960,23,8.4,6.6,3.4,60,8,Neutral,
,S1961,17,8.9,5.2,1.4,88,4,Stressed,
,S1962,16,8.1,6.5,1.6,76,4,Happy,
,S1963,25,3.9,4.3,2.3,19,6,Neutral,
,S1964,19,4.5,9,3.8,47,5,Neutral,
,S1965,18,7.6,7.6,2.6,11,10,Happy,
,S1966,20,4.2,4.5,0.1,31,5,Neutral,
,S1967,24,11.7,8.6,4,20,7,Happy,
,S1968,16,5,8.5,3.2,63,6,Stressed,
,S1969,24,4.9,6.6,3.8,11,2,Stressed,
,S1970,22,4.1,7.5,3.7,87,10,Happy,
,S1971,17,9,5.9,4.5,79,1,Stressed,
,S1972,19,5.2,8.9,3.5,43,10,Stressed,
,S1973,17,5.5,4.4,4.2,80,9,Happy,
,S1974,23,11.3,4.5,0.4,7,7,Neutral,
,S1975,17,10,4.7,5.6,7,3,Happy,
,S1976,18,4.7,8.1,0.6,45,5,Happy,
,S1977,23,3.2,4.4,4.7,82,1,Happy,
,S1978,20,8.8,6.8,1.8,19,6,Stressed,
,S1979,24,5.8,6.2,0.5,89,9,Neutral,
,S1980,20,11.8,8.8,4.6,68,1,Stressed,
,S1981,22,10.2,5.2,2.6,13,1,Stressed,
,S1982,23,11.5,5.3,2.4,16,9,Happy,
,S1983,23,10,5.6,4,62,6,Stressed,
,S1984,19,4.9,8,2.8,29,2,Neutral,
,S1985,23,4.9,7.5,3.2,40,5,Happy,
,S1986,24,9.1,7.7,0.8,71,1,Neutral,
,S1987,18,5.5,5.6,2.3,82,4,Neutral,
,S1988,22,6.4,5.4,4.8,44,7,Stressed,
,S1989,19,4.6,4.4,3.3,56,10,Stressed,
